,59,P  ,8,8,0
,60,P  ,8,16,0
,61,P  ,8,32,0
,62,P  ,8,64,0
,63,P  ,8,128,0
,64,P  ,9,1,0
,65,P  ,9,2,0
,66,P  ,9,4,0
,67,P  ,9,8,0
,68,P  ,9,16,0
,69,P  ,9,32,0
,70,P  ,9,64,0
,71,P  ,9,128,0
,72,P  ,10,1,0
,73,P  ,10,2,0
,74,P  ,10,4,0
,75,P  ,10,8,0
,76,P  ,10,16,0
,77,P  ,10,32,0
,78,P  ,10,64,0
,79,P  ,10,128,0
,80,P  ,11,1,0
,81,P  ,11,2,0
,82,P  ,11,4,0
,83,P  ,11,8,0
,84,P  ,11,16,0
,85,P  ,11,32,0
,86,P  ,11,64,0
,87,P  ,11,128,0
,88,P  ,12,1,0
,89,P  ,12,2,0
,90,P  ,12,4,0
,91,P  ,12,8,0
,92,P  ,12,16,0
,93,P  ,12,32,0
,94,P  ,12,64,0
,95,P  ,12,128,0
,96,P  ,13,1,0
,97,P  ,13,2,0
,98,P  ,13,4,0
,99,P  ,13,8,0
,100,P  ,13,16,0
,101,P  ,13,32,0
,102,P  ,13,64,0
,103,P  ,13,128,0
,104,P  ,14,1,0
,105,P  ,14,2,0
,106,P  ,14,4,0
,107,P  ,14,8,0
,108,P  ,14,16,0
,109,P  ,14,32,0
,110,P  ,14,64,0
,111,P  ,14,128,0
,112,P  ,15,1,0
,113,P  ,15,2,0
,114,P  ,15,4,0
,115,P  ,15,8,0
,116,P  ,15,16,0
,117,P  ,15,32,0
,118,P  ,15,64,0
,119,P  ,15,128,0
,120,P  ,16,1,0
,121,P  ,16,2,0
,122,P  ,16,4,0
,123,P  ,16,8,0
,124,P  ,16,16,0
,125,P  ,16,32,0
,126,P  ,16,64,0
,127,P  ,16,128,0
,128,P  ,17,1,0
,129,P  ,17,2,0
,130,P  ,17,4,0
,131,P  ,17,8,0
,132,P  ,17,16,0
,133,P  ,17,32,0
,134,P  ,17,64,0
,135,P  ,17,128,0
,136,P  ,18,1,0
,137,P  ,18,2,0
,138,P  ,18,4,0
,139,P  ,18,8,0
,140,P  ,18,16,0
,141,P  ,18,32,0
,142,P  ,18,64,0
,143,P  ,18,128,0
,144,P  ,19,1,0
,145,P  ,19,2,0
,146,P  ,19,4,0
,147,P  ,19,8,0
,148,P  ,19,16,0
,149,P  ,19,32,0
,150,P  ,19,64,0
,151,P  ,19,128,0
,152,P  ,20,1,0
,153,P  ,20,2,0
,154,P  ,20,4,0
,155,P  ,20,8,0
,156,P  ,20,16,0
,157,P  ,20,32,0
,158,P  ,20,64,0
,159,P  ,20,128,0
,160,P  ,21,1,0
,161,P  ,21,2,0
,162,P  ,21,4,0
,163,P  ,21,8,0
,164,P  ,21,16,0
,165,P  ,21,32,0
,166,P  ,21,64,0
,167,P  ,21,128,0
,168,P  ,22,1,0
,169,P  ,22,2,0
,170,P  ,22,4,0
,171,P  ,22,8,0
,172,P  ,22,16,0
,173,P  ,22,32,0
,174,P  ,22,64,0
,175,P  ,22,128,0
,176,P  ,23,1,0
,177,P  ,23,2,0
,178,P  ,23,4,0
,179,P  ,23,8,0
,180,P  ,23,16,0
,181,P  ,23,32,0
,182,P  ,23,64,0
,183,P  ,23,128,0
,184,P  ,24,1,0
,185,P  ,24,2,0
,186,P  ,24,4,0
,187,P  ,24,8,0
,188,P  ,24,16,0
,189,P  ,24,32,0
,190,P  ,24,64,0
,191,P  ,24,128,0
,192,P  ,25,1,0
,193,P  ,25,2,0
,194,P  ,25,4,0
,195,P  ,25,8,0
,196,P  ,25,16,0
,197,P  ,25,32,0
,198,P  ,25,64,0
,199,P  ,25,128,0
,200,P  ,26,1,0
,201,P  ,26,2,0
,202,P  ,26,4,0
,203,P  ,26,8,0
,204,P  ,26,16,0
,205,P  ,26,32,0
,206,P  ,26,64,0
,207,P  ,26,128,0
,208,P  ,27,1,0
,209,P  ,27,2,0
,210,P  ,27,4,0
,211,P  ,27,8,0
,212,P  ,27,16,0
,213,P  ,27,32,0
,214,P  ,27,64,0
,215,P  ,27,128,0
,216,P  ,28,1,0
,217,P  ,28,2,0
,218,P  ,28,4,0
,219,P  ,28,8,0
,220,P  ,28,16,0
,221,P  ,28,32,0
,222,P  ,28,64,0
,223,P  ,28,128,0
,224,P  ,29,1,0
,225,P  ,29,2,0
,226,P  ,29,4,0
,227,P  ,29,8,0
,228,P  ,29,16,0
,229,P  ,29,32,0
,230,P  ,29,64,0
,231,P  ,29,128,0
,232,P  ,30,1,0
,233,P  ,30,2,0
,234,P  ,30,4,0
,235,P  ,30,8,0
,236,P  ,30,16,0
,237,P  ,30,32,0
,238,P  ,30,64,0
,239,P  ,30,128,0
,240,P  ,31,1,0
,241,P  ,31,2,0
,242,P  ,31,4,0
,243,P  ,31,8,0
,244,P  ,31,16,0
,245,P  ,31,32,0
,246,P  ,31,64,0
,247,P  ,31,128,0
,248,P  ,32,1,0
,249,P  ,32,2,0
,250,P  ,32,4,0
,251,P  ,32,8,0
,252,P  ,32,16,0
,253,P  ,32,32,0
,254,P  ,32,64,0
,255,P  ,32,128,0
,256,P  ,33,1,0
,257,P  ,33,2,0
,258,P  ,33,4,0
,259,P  ,33,8,0
,260,P  ,33,16,0
,261,P  ,33,32,0
,262,P  ,33,64,0
,263,P  ,33,128,0
,264,P  ,34,1,0
,265,P  ,34,2,0
,266,P  ,34,4,0
,267,P  ,34,8,0
,268,P  ,34,16,0
,269,P  ,34,32,0
,270,P  ,34,64,0
,271,P  ,34,128,0
,272,P  ,35,1,0
,273,P  ,35,2,0
,274,P  ,35,4,0
,275,P  ,35,8,0
,276,P  ,35,16,0
,277,P  ,35,32,0
,278,P  ,35,64,0
,279,P  ,35,128,0
,280,P  ,36,1,0
,281,P  ,36,2,0
,282,P  ,36,4,0
,283,P  ,36,8,0
,284,P  ,36,16,0
,285,P  ,36,32,0
,286,P  ,36,64,0
,287,P  ,36,128,0
,288,P  ,37,1,0
,289,P  ,37,2,0
,290,P  ,37,4,0
,291,P  ,37,8,0
,292,P  ,37,16,0
,293,P  ,37,32,0
,294,P  ,37,64,0
,295,P  ,37,128,0
,296,P  ,38,1,0
,297,P  ,38,2,0
,298,P  ,38,4,0
,299,P  ,38,8,0
,300,P  ,38,16,0
,301,P  ,38,32,0
,302,P  ,38,64,0
,303,P  ,38,128,0
,304,P  ,39,1,0
